"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login","1","0","E-mail inexistente","0"
"0","","0","Usuário","1","0","Consultar usuário","0"
"0","","0","Usuário","1","0","Atualizar usuário","0"
"0","","0","","14","1","","0"
"0","","0","Usuário","1","0","Validar exclusão","0"
"0","","0","Produto","1","0","Cadastrar produto","0"
"0","","0","Login","1","0","Senha incorreta","0"
"0","","0","Produto","1","0","Excluir produto","0"
"0","","0","Login","1","0","Payload vazio","0"
"0","","0","Login","1","0","E-mail vazio","0"
"0","","0","Login","1","0","Formato de e-mail inválido","0"
"0","","0","Usuário","2","0","Criar usuário para login","0"
"0","","0","Login","1","0","E-mail obrigatório","0"
"0","","0","Login","1","0","Senha obrigatória","0"
"0","","0","Usuário","1","0","Validar usuário atualizado","0"
"0","","0","Produto","1","0","Validar atualização","0"
"0","","0","Produto","1","0","Validar exclusão","0"
"0","","0","Login","1","0","Senha vazia","0"
"0","","0","Usuário","1","0","Realizar login","0"
"0","","0","Usuário","1","0","Excluir usuário","0"
"0","","0","Usuário","1","0","Criar usuário","0"
"0","","0","Produto","1","0","Consultar produto","0"
"0","","0","Produto","1","0","Atualizar produto","0"
