"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1150","CREATE - Deve validar usuário criado","chromium","2026-09-05","passed","2026-09-05","CRUD Usuário","e2e/usuarios/crud.spec.js","",""
"","51","GET /produtos","chromium","2026-09-05","passed","2026-09-05","Health Check - ServeRest","api/healthcheck.spec.js","",""
"","48","READ após DELETE - Deve validar que usuário foi removido","chromium","2026-09-05","passed","2026-09-05","CRUD Usuário","user/crud.spec.js","",""
"","2515","READ - Deve listar o produto cadastrado","chromium","2026-09-05","passed","2026-09-05","CRUD Produtos","e2e/produtos/crud.spec.js","",""
"","49","LOGIN - Não deve realizar login com senha incorreta","chromium","2026-09-05","passed","2026-09-05","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
"","66","GET /usuarios","chromium","2026-09-05","passed","2026-09-05","Health Check - ServeRest","api/healthcheck.spec.ts","",""
"","75","CREATE - Deve cadastrar produto","chromium","2026-09-05","passed","2026-09-05","CRUD Produto","produtos/crud.spec.js","",""
"","1174","LOGIN - Deve realizar login","chromium","2026-09-05","passed","2026-09-05","CRUD Usuário","e2e/usuarios/crud.spec.js","",""
"","63","DELETE - Deve excluir o usuário","chromium","2026-09-05","passed","2026-09-05","CRUD Usuário","user/crud.spec.js","",""
"","49","GET /produtos","chromium","2026-09-05","passed","2026-09-05","Health Check - ServeRest","api/healthcheck.spec.ts","",""
"","53","UPDATE - Deve atualizar produto","chromium","2026-09-05","passed","2026-09-05","CRUD Produto","produtos/crud.spec.js","",""
"","559","GET /","chromium","2026-09-05","passed","2026-09-05","Health Check - ServeRest","api/healthcheck.spec.js","",""
"","2064","READ - Deve listar usuário cadastrado","chromium","2026-09-05","passed","2026-09-05","CRUD Usuário","e2e/usuarios/crud.spec.js","",""
"","73","GET /usuarios","chromium","2026-09-05","passed","2026-09-05","Health Check - ServeRest","api/healthcheck.spec.js","",""
"","62","LOGIN - Não deve realizar login com senha vazia","chromium","2026-09-05","passed","2026-09-05","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
"","1819","CREATE - Deve cadastrar produto usando token do login","chromium","2026-09-05","passed","2026-09-05","CRUD Produtos","e2e/produtos/crud.spec.js","",""
"","5181","CADASTRO E LOGIN DO USUÁRIO","chromium","2026-09-05","passed","2026-09-05","CRUD Produtos","e2e/produtos/crud.spec.js","",""
"","50","READ após UPDATE - Deve validar dados atualizados","chromium","2026-09-05","passed","2026-09-05","CRUD Usuário","user/crud.spec.js","",""
"","48","CREATE - Deve criar usuário para login","chromium","2026-09-05","passed","2026-09-05","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
"","51","LOGIN - Deve realizar login com usuário criado","chromium","2026-09-05","passed","2026-09-05","Login usuário","user/login.spec.js","",""
"","1","UPDATE - Deve alterar informações do usuário","chromium","2026-09-05","skipped","2026-09-05","CRUD Usuário","e2e/usuarios/crud.spec.js","",""
"","50","LOGIN - Não deve realizar login com formato de e-mail inválido","chromium","2026-09-05","passed","2026-09-05","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
"","59","UPDATE - Deve atualizar o usuário","chromium","2026-09-05","passed","2026-09-05","CRUD Usuário","user/crud.spec.js","",""
"","47","LOGIN - Não deve realizar login sem informar e-mail","chromium","2026-09-05","passed","2026-09-05","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
"","49","LOGIN - Não deve realizar login sem enviar dados","chromium","2026-09-05","passed","2026-09-05","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
"","2455","DELETE - Deve excluir o produto","chromium","2026-09-05","passed","2026-09-05","CRUD Produtos","e2e/produtos/crud.spec.js","",""
"","51","READ após UPDATE","chromium","2026-09-05","passed","2026-09-05","CRUD Produto","produtos/crud.spec.js","",""
"","50","CREATE - Deve criar usuário para login","chromium","2026-09-05","passed","2026-09-05","Login usuário","user/login.spec.js","",""
"","52","READ - Deve consultar o usuário criado","chromium","2026-09-05","passed","2026-09-05","CRUD Usuário","user/crud.spec.js","",""
"","56","GET /","chromium","2026-09-05","passed","2026-09-05","Health Check - ServeRest","api/healthcheck.spec.ts","",""
"","50","LOGIN - Não deve realizar login com e-mail vazio","chromium","2026-09-05","passed","2026-09-05","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
"","1","LOGIN - Deve validar token gerado","chromium","2026-09-05","passed","2026-09-05","Login usuário","user/login.spec.js","",""
"","52","LOGIN - Não deve realizar login com e-mail inexistente","chromium","2026-09-05","passed","2026-09-05","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
"","52","READ após DELETE","chromium","2026-09-05","passed","2026-09-05","CRUD Produto","produtos/crud.spec.js","",""
"","56","READ - Deve consultar produto","chromium","2026-09-05","passed","2026-09-05","CRUD Produto","produtos/crud.spec.js","",""
"","58","DELETE - Deve excluir produto","chromium","2026-09-05","passed","2026-09-05","CRUD Produto","produtos/crud.spec.js","",""
"","61","CREATE - Deve criar um usuário","chromium","2026-09-05","passed","2026-09-05","CRUD Usuário","user/crud.spec.js","",""
"","49","LOGIN - Não deve realizar login sem informar senha","chromium","2026-09-05","passed","2026-09-05","Cenários Negativos para o Login","user/login-negativo.spec.js","",""
